Frame#,L.FX,L.FY,L.FZ,L.X,L.Y,L.Z,L.MFree
91,0.198296,2.636513,813.617737,309.00531,207.433182,0,-0.203712
92,0.466072,2.58535,814.868103,308.749786,207.605667,0,-0.198874
93,1.041054,2.583099,815.081421,308.443573,207.789429,0,-0.208116
94,1.448418,2.452102,814.126282,308.077881,208.053619,0,-0.236154
95,2.11499,2.066002,814.382141,307.579437,208.295868,0,-0.265256
96,2.536438,1.819946,813.69696,307.249786,208.536438,0,-0.307132
97,2.336548,1.244873,813.103638,307.098877,209.033554,0,-0.219206
98,1.798042,0.825081,812.50824,306.83432,209.722336,0,-0.155205
99,1.623306,0.255821,813.032532,306.508606,210.391113,0,-0.094195
100,2.085327,-0.428757,813.814209,306.032379,211.208298,0,-0.102922
101,2.651657,-1.131653,814.240784,305.656219,211.859406,0,-0.072366
102,2.661476,-1.466286,814.721375,305.355164,212.382996,0,-0.031538
103,2.67067,-1.692596,814.848511,305.153107,212.720444,0,0.053133
104,2.513985,-1.4319,814.531372,304.985596,212.913498,0,0.125196
105,2.41671,-1.122345,814.396912,304.858368,212.951202,0,0.162951
106,2.68631,-0.900604,813.679749,304.625793,212.810547,0,0.199829
107,2.982483,-0.829643,813.546387,304.386169,212.650757,0,0.198915
108,3.218559,-0.47863,812.877014,304.244476,212.403229,0,0.223194
109,3.122108,-0.165955,812.838562,304.142792,212.22496,0,0.267187
110,2.911636,0.085464,813.518921,303.937561,212.068604,0,0.274189
111,3.127106,0.248436,813.340027,303.743347,211.930084,0,0.231448
112,3.055313,0.270416,813.569397,303.539154,211.754898,0,0.171918
113,3.213058,0.410049,813.75415,303.280029,211.522934,0,0.184235
114,3.257942,0.431305,813.977722,303.157288,211.560867,0,0.212934
115,3.511856,0.142517,814.020569,303.018433,211.57363900000001,0,0.24385
116,3.614777,0.063583,813.616699,303.023651,211.535599,0,0.26132
117,3.393318,-0.016968,813.308594,303.010437,211.41893,0,0.288861
118,3.093399,0.179939,813.540466,303.080383,211.25592,0,0.274895
119,3.104935,0.137115,813.230408,303.147949,211.106979,0,0.292997
120,2.944557,0.289741,813.598267,303.214355,210.869522,0,0.317126
121,2.864296,0.327438,813.78656,303.21228,210.57074,0,0.27958
122,2.786064,0.321136,813.79541,303.383057,210.297577,0,0.30759
123,2.716331,0.407242,813.445129,303.477234,209.988678,0,0.297385
124,2.268166,0.569229,813.994446,303.596283,209.778183,0,0.287466
125,1.981422,0.535446,814.498413,303.640503,209.55658,0,0.320052
126,2.038094,0.815994,814.276489,303.692902,209.408127,0,0.292707
127,2.069923,0.924019,813.562256,303.728027,209.225372,0,0.282978
128,2.071007,1.0559,813.569458,303.81189,208.935257,0,0.246041
129,2.09626,1.164306,813.755371,303.907013,208.681427,0,0.221885
130,1.808731,1.226112,813.631775,304.071228,208.380707,0,0.206894
131,1.644524,1.484092,813.41803,304.092834,208.059799,0,0.236798
132,1.562531,1.789032,813.156311,304.191681,207.791931,0,0.232562
133,1.480904,1.954635,813.075317,304.220184,207.490341,0,0.211168
134,1.493591,2.271011,813.397034,304.264435,207.157898,0,0.132543
135,1.746773,2.532654,813.224976,304.270325,206.75618,0,0.100086
136,1.597969,2.848129,813.910645,304.29538,206.375015,0,0.105166
137,1.392288,3.059212,814.505737,304.381683,206.062057,0,0.131564
138,1.140007,3.223419,814.693542,304.530823,205.858795,0,0.12923
139,0.804611,3.176949,814.474731,304.581329,205.743149,0,0.06263
140,0.907944,3.098801,814.162537,304.580353,205.62381,0,0.058538
141,1.417023,2.929909,814.025085,304.507813,205.507446,0,0.011578
142,1.668442,2.850158,813.301392,304.47702,205.608246,0,0.043083
143,1.47084,2.857826,813.571289,304.384186,205.688446,0,0.067223
144,1.12162,2.820122,813.123596,304.399506,205.786713,0,0.091765
145,0.808479,2.723037,813.078064,304.364929,205.93515,0,0.091509
146,0.763634,2.454399,813.20929,304.314789,206.048019,0,0.018125
147,1.008369,2.299698,814.099243,304.132019,206.267563,0,0.017398
148,1.39077,2.043907,814.360107,303.985504,206.428619,0,-0.016647
149,1.319214,2.026802,814.5802,303.795715,206.601776,0,-0.053264
150,1.268906,1.940346,814.395203,303.585022,206.814896,0,-0.064908
151,1.148613,1.992859,814.302856,303.380035,206.975143,0,-0.032837
152,1.131104,1.964485,813.984009,303.111267,207.148834,0,-0.029863
153,1.243553,1.962791,813.891846,302.923798,207.168121,0,-0.065894
154,1.551056,2.007156,813.660889,302.676422,207.266861,0,-0.095513
155,1.744896,1.971657,813.477661,302.528015,207.31749,0,-0.105086
156,1.651581,1.82814,814.061401,302.293579,207.352921,0,-0.141387
157,1.647224,1.720512,813.834778,302.058319,207.42688,0,-0.166918
158,1.504852,1.584701,814.415771,301.690704,207.616669,0,-0.151255
159,1.497704,1.789291,814.009644,301.449585,207.699203,0,-0.118077
160,1.654144,1.657211,814.004883,301.081024,207.826645,0,-0.118658
161,2.006378,1.631966,813.684387,300.74408,207.902512,0,-0.142258
162,2.312553,1.467995,813.637817,300.333099,207.878677,0,-0.120378
163,2.29953,1.346367,814.444641,300.009155,207.946838,0,-0.147675
164,2.129967,1.248497,814.223022,299.5979,207.906113,0,-0.183579
165,2.169228,1.17495,813.907104,299.243713,207.957031,0,-0.188666
166,2.372528,1.125725,814.085022,298.881592,207.949142,0,-0.195409
167,2.619736,1.147697,813.724731,298.550873,207.925018,0,-0.143881
168,2.753876,1.133888,813.995972,298.212433,207.847122,0,-0.107759
169,3.02684,1.1063,814.621887,297.773132,207.882584,0,-0.072351
170,2.995667,1.031265,814.260681,297.372314,207.966522,0,-0.087946
171,2.83905,0.86319,814.352661,296.957794,207.973709,0,-0.085661
172,2.971222,0.800819,814.259766,296.575928,208.063507,0,-0.062529
