Frame#,L.FX,L.FY,L.FZ,L.X,L.Y,L.Z,L.MFree
91,1.63414,-0.742813,813.382874,339.43988,206.4608,0,-0.137447
92,1.484497,-0.664574,813.741699,339.419281,206.540939,0,-0.126197
93,1.390472,-0.595665,813.472656,339.434509,206.545059,0,-0.145238
94,1.203796,-0.553978,813.877686,339.252045,206.594238,0,-0.151067
95,1.202782,-0.61277,814.104248,339.110748,206.531738,0,-0.148045
96,1.233116,-0.557007,813.878662,338.949371,206.575317,0,-0.118867
97,1.228386,-0.675026,813.791077,338.683685,206.53743,0,-0.072899
98,1.430237,-0.628838,813.342041,338.441711,206.460632,0,-0.073694
99,1.945076,-0.432549,813.517578,338.069244,206.408798,0,-0.084353
100,2.389839,-0.327438,813.427246,337.717377,206.261215,0,-0.085546
101,3.021004,-0.246132,814.054565,337.212891,206.091446,0,-0.078483
102,3.303902,-0.13176,814.552307,336.722595,205.875992,0,-0.055273
103,3.253807,0.01815,815.192017,336.36499,205.518127,0,-0.058546
104,2.851219,0.417808,815.428711,335.920776,205.251282,0,-0.048086
105,2.642601,0.844581,814.811523,335.558594,204.916641,0,-0.033696
106,3.000847,1.319496,814.501831,335.065247,204.606354,0,-0.042199
107,3.575684,1.533165,813.11554,334.620544,204.201141,0,0.013369
108,4.039551,1.746956,812.178406,334.331543,203.840561,0,0.077523
109,4.211037,1.957542,812.09021,334.285828,203.706238,0,0.075625
110,3.892593,2.128693,811.330322,334.237976,203.703903,0,0.098737
111,3.317505,2.021042,811.967041,334.269836,203.656387,0,0.109261
112,2.892799,2.019035,812.512085,334.331146,203.589203,0,0.079463
113,2.516777,2.01738,813.597046,334.375061,203.477463,0,0.055529
114,2.436737,2.179008,813.867798,334.403778,203.452713,0,0.046784
115,2.598976,2.051254,814.0445560000001,334.324249,203.512344,0,0.06505
116,2.957413,1.891975,813.816223,334.304962,203.52092,0,0.077662
117,3.002953,1.752289,813.543213,334.298157,203.632813,0,0.085386
118,2.968575,1.564377,813.402893,334.313385,203.865768,0,0.10871
119,2.449944,1.409119,813.584595,334.376617,204.005524,0,0.118606
120,1.787903,1.38166,812.82489,334.501556,204.131638,0,0.147308
121,1.674011,1.355911,813.227539,334.508881,204.260193,0,0.191529
122,2.079193,1.459724,813.76001,334.362518,204.327698,0,0.172939
123,2.715698,1.392403,814.021179,334.218201,204.37381,0,0.149552
124,2.934578,1.196739,813.748657,334.168213,204.408112,0,0.156711
125,2.826683,1.274177,813.341064,334.09964,204.568817,0,0.157081
126,2.235092,1.174179,813.342773,334.019012,204.72905,0,0.130534
127,2.118134,0.907104,812.666992,334.060028,204.831512,0,0.105945
128,2.038033,0.925934,813.429077,333.898346,204.910812,0,0.084935
129,2.257141,0.844986,813.788086,333.731995,204.879227,0,0.137332
130,2.661217,0.856705,813.961182,333.597046,204.950714,0,0.118111
131,2.821411,1.097031,814.134277,333.484497,205.085999,0,0.064166
132,2.889137,0.780891,814.174622,333.2677,205.227966,0,0.040998
133,2.862495,0.557678,813.857483,333.090088,205.345154,0,0.036508
134,3.009918,0.496689,813.942871,332.84903,205.432907,0,-0.004212
135,3.145294,0.634201,814.077087,332.64621,205.407593,0,0.009196
136,3.243729,0.804527,814.030151,332.375732,205.448334,0,0.013762
137,3.423737,0.827698,813.716003,332.166168,205.378677,0,0.02493
138,3.524475,0.718147,814.297302,331.771606,205.462479,0,0.040516
139,3.761482,0.751572,814.025574,331.503387,205.468307,0,0.061871
140,3.722519,0.688225,814.429688,331.137878,205.516998,0,0.087113
141,3.566208,0.661636,814.072632,330.893097,205.489182,0,0.061855
142,4.090454,0.763763,814.112427,330.406128,205.474548,0,0.049254
143,4.821465,0.97142,814.015686,329.897766,205.457138,0,0.068466
144,5.102287,1.06102,813.6521,329.515198,205.502975,0,0.061533
145,5.385864,1.096039,813.200928,329.301483,205.470871,0,0.060952
146,5.323563,1.069359,813.111084,329.067078,205.500427,0,0.062402
147,5.082031,1.008957,813.336487,329.072266,205.541641,0,0.018229
148,4.830856,1.124,813.924866,329.13562,205.44577,0,-0.037124
149,4.559494,1.213821,815.320923,329.159576,205.423218,0,-0.033785
150,4.746002,1.236648,815.721497,329.116638,205.477905,0,-0.043167
151,5.076981,1.19149,815.088318,328.993622,205.512573,0,-0.037282
152,5.156876,1.133919,814.635559,329.02829,205.597092,0,-0.051698
153,4.908463,1.076469,813.381714,329.082062,205.580444,0,-0.010066
154,4.501961,1.042297,812.488525,329.257294,205.532654,0,-0.028701
155,4.027962,0.902214,812.044434,329.405518,205.546051,0,-0.011227000000000001
156,3.946762,0.948715,811.774902,329.481476,205.560455,0,-0.032443
157,3.997696,1.170982,812.269104,329.689789,205.550308,0,0.010072
158,4.050392,1.264671,813.211914,329.81723,205.535706,0,0.003045
