Frame#,L.FX,L.FY,L.FZ,L.X,L.Y,L.Z,L.MFree
92,3.347458,1.00605,756.854309,318.97049,207.211777,0,0.055
93,3.844101,1.018814,757.072693,318.798553,207.22084,0,0.011996
94,3.846992,0.936584,757.746094,318.769653,207.254318,0,0.039142
95,3.766434,1.004044,757.74292,318.821899,207.399704,0,0.02895
96,3.638138,0.946861,757.069336,318.960876,207.470657,0,0.070365
97,3.394775,0.908821,757.069031,318.954254,207.598007,0,0.09131
98,3.710869,0.817184,757.466309,319.013763,207.735657,0,0.089577
99,3.931053,0.818062,757.552856,318.980957,207.74884,0,0.060864
100,3.816048,0.86438,757.463806,319.057617,207.73761,0,0.019343
101,3.653763,0.854111,757.108276,319.15683,207.663513,0,0.033681
102,3.666519,0.762855,756.746887,319.304657,207.738174,0,0.033733
103,3.506477,0.830444,757.106262,319.341034,207.77356,0,-0.006272
104,3.254303,0.737038,756.926331,319.53656,207.895447,0,0.004811
105,3.266907,0.959701,756.656982,319.730133,207.836258,0,-0.038264
106,3.236221,0.915314,757.018677,319.876556,207.780579,0,-0.006983
107,2.883415,0.799118,757.335388,320.140106,207.831131,0,-0.014132
108,2.436546,0.801819,756.801331,320.611877,207.824799,0,0.005632
109,2.047958,0.790932,757.167725,320.848022,207.735382,0,0.043983
110,2.06675,0.769241,757.748962,321.105286,207.801865,0,0.008068
111,2.140961,0.726402,757.928833,321.330811,207.761307,0,0.010001
112,2.027023,0.763161,757.479675,321.585724,207.787033,0,-0.005224
113,1.880157,0.715568,758.019409,321.658142,207.838699,0,0.023839
114,1.559082,0.667595,758.291626,321.784821,207.891891,0,0.060046
115,1.512375,0.621712,757.795776,321.90683,207.997711,0,0.097176
116,1.467583,0.679573,757.88501,322.00589,208.052948,0,0.123586
117,1.481667,0.703644,757.927979,322.150391,208.105042,0,0.1099
118,1.354729,0.702324,758.109131,322.124939,208.095947,0,0.100085
119,1.318665,0.609917,757.704956,322.121704,208.094864,0,0.073012
120,1.283836,0.70182,757.976074,322.073029,208.056122,0,0.087107
121,1.191032,0.665405,758.337891,321.962738,208.023895,0,0.121428
122,1.06131,0.644203,757.89563,321.944,207.817795,0,0.12452
123,0.96608,0.666481,757.764038,321.840668,207.754868,0,0.147347
124,1.241982,0.657211,757.674255,321.716949,207.622086,0,0.116004
125,1.180595,0.78492,757.273193,321.649139,207.504181,0,0.09047
126,0.554306,0.769836,757.056702,321.648987,207.425323,0,0.044746
